season	no	name	sub	dub
season1	1	The World of Swords	https://streamani.net/goto.php?url=aHR0cHM6LyAawehyfcghysfdsDGDYdgdsfsdfwstdgdsgtert9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NraWxmdWwtYWxwaGEtMzE3MjAyL1FWMzJaSTFVUk85L3N0MjJfc3dvcmQtYXJ0LW9ubGluZS1lcGlzb2RlLTEuMTYyNjIyMzU0NS5tcDQ=	https://streamani.net/goto.php?url=aHR0cHM6LyAawehyfcghysfdsDGDYdgdsfsdfwstdgdsgtert9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2NvYmFsdC1hbGxpYW5jZS0zMTcwMDYvNjUxSVhEVENOVE0zL3N0MjJfc3dvcmQtYXJ0LW9ubGluZS1kdWItZXBpc29kZS0xLjE2MjU5NjIwNjgubXA0
season1	2	Beater	https://streamani.net/goto.php?url=aHR0cHM6LyAdrefsdsdfwerFrefdsfrersfdsrfer363435349zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2NvYmFsdC1hbGxpYW5jZS0zMTcwMDYvQzhPMjhISlZQMVc0L3N0MjJfc3dvcmQtYXJ0LW9ubGluZS1lcGlzb2RlLTIuMTYyNTkzNjcwMC5tcDQ=	https://streamani.net/goto.php?url=aHR0cHM6LyAdrefsdsdfwerFrefdsfrersfdsrfer363435349zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2NvYmFsdC1hbGxpYW5jZS0zMTcwMDYvQlJKUlE3SlRXOTUvc3QyMl9zd29yZC1hcnQtb25saW5lLWR1Yi1lcGlzb2RlLTIuMTYyNTk2NjUxNS5tcDQ=
season1	3	The Red-Nosed Reindeer	https://streamani.net/goto.php?url=aHR0cHM6LyURASDGHUSRFSJGYfdsffsderFStewthsfSFtrftesdf9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NraWxmdWwtYWxwaGEtMzE3MjAyL1dXQTdLMzNNVkFFL3N0MjJfc3dvcmQtYXJ0LW9ubGluZS1lcGlzb2RlLTMuMTYyNjI0MDY4Ni5tcDQ=	https://streamani.net/goto.php?url=aHR0cHM6LyURASDGHUSRFSJGYfdsffsderFStewthsfSFtrftesdf9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NoYXJwLXRlcm1pbmFsLTMxOTExNy9XVFRZM1RJSEQ0R1Qvc3QyM19zd29yZC1hcnQtb25saW5lLWR1Yi1lcGlzb2RlLTMuMTYyNjUzOTA4MS5tcDQ=
season1	4	The Black Swordsman	https://streamani.net/goto.php?url=aHR0cHM6LyAawehyfcghysfdsDGDYdgdsfsdfwstdgdsgtert9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NoYXJwLXRlcm1pbmFsLTMxOTExNy82UUwyNFNfOTFWNjkvc3QyM19zd29yZC1hcnQtb25saW5lLWVwaXNvZGUtNC4xNjI2NTU4MTM1Lm1wNA==	https://streamani.net/goto.php?url=aHR0cHM6LyAawehyfcghysfdsDGDYdgdsfsdfwstdgdsgtert9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NoYXJwLXRlcm1pbmFsLTMxOTExNy9BWklOM05KUzFSTlYvc3QyM19zd29yZC1hcnQtb25saW5lLWR1Yi1lcGlzb2RlLTQuMTYyNjU1MDI3Ni5tcDQ=
season1	5	Murder in the Safe Zone	https://streamani.net/goto.php?url=aHR0cHM6LyAdrefsdsdfwerFrefdsfrersfdsrfer363435349zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NraWxmdWwtYWxwaGEtMzE3MjAyL0ZUQzJFX0U2M1pVTy9zdDIyX3N3b3JkLWFydC1vbmxpbmUtZXBpc29kZS01LjE2MjYyNDU5MzEubXA0	https://streamani.net/goto.php?url=aHR0cHM6LyAdeqwrwedffryretgsdFrsftrsvfsfsr9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NoYXJwLXRlcm1pbmFsLTMxOTExNy9YX1VXMkJOQ1RIUS9zdDIzX3N3b3JkLWFydC1vbmxpbmUtZHViLWVwaXNvZGUtNS4xNjI2NTQzMjEyLm1wNA==
season1	6	Illusionary Avenger	https://streamani.net/goto.php?url=aHR0cHM6LyAdeqwrwedffryretgsdFrsftrsvfsfsr9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NraWxmdWwtYWxwaGEtMzE3MjAyL1lBSkpVWkI4SUlGSS9zdDIyX3N3b3JkLWFydC1vbmxpbmUtZXBpc29kZS02LjE2MjYyMjU3MzEubXA0	https://streamani.net/goto.php?url=aHR0cHM6LyAdrefsdsdfwerFrefdsfrersfdsrfer363435349zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2NvYmFsdC1hbGxpYW5jZS0zMTcwMDYvNTdXTE82SVZWMTkvc3QyMl9zd29yZC1hcnQtb25saW5lLWR1Yi1lcGlzb2RlLTYuMTYyNTk3Mjg3OS5tcDQ=
season1	7	The Temperature of the Heart	https://streamani.net/goto.php?url=aHR0cHM6LyAdrefsdsdfwerFrefdsfrersfdsrfer363435349zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2NvYmFsdC1hbGxpYW5jZS0zMTcwMDYvSks4QlNCWV9YU1RVL3N0MjJfc3dvcmQtYXJ0LW9ubGluZS1lcGlzb2RlLTcuMTYyNTk1NzAxNS5tcDQ=	https://streamani.net/goto.php?url=aHR0cHM6LyAdeqwrwedffryretgsdFrsftrsvfsfsr9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL2NvYmFsdC1hbGxpYW5jZS0zMTcwMDYvSTdGSkNHQURKVFEvc3QyMl9zd29yZC1hcnQtb25saW5lLWR1Yi1lcGlzb2RlLTcuMTYyNTk2ODI5My5tcDQ=
season1	8	The Sword Dance of Black and White	https://streamani.net/goto.php?url=aHR0cHM6LyAdrefsdsdfwerFrefdsfrersfdsrfer363435349zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NoYXJwLXRlcm1pbmFsLTMxOTExNy80MlhPRE1VUVNLWUcvc3QyM19zd29yZC1hcnQtb25saW5lLWVwaXNvZGUtOC4xNjI2NTU3NDExLm1wNA==	https://streamani.net/goto.php?url=aHR0cHM6LyURASDGHUSRFSJGYfdsffsderFStewthsfSFtrftesdf9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NraWxmdWwtYWxwaGEtMzE3MjAyL1pEUUtLS0xCR05XTy8yMmFhc2MyMl8xNjI2MzA0OTE4LjIyLjBfOTAyMjYubXA0
season1	9	The Blue-Eyed Demon	https://streamani.net/goto.php?url=aHR0cHM6LyURASDGHUSRFSJGYfdsffsderFStewthsfSFtrftesdf9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NraWxmdWwtYWxwaGEtMzE3MjAyL0w4RTgxS1kyQ1FBVS8yMmFhc2MyMl8xNjI2MjQ1MjAxLjIyLjBfMzkzNTMubXA0	https://streamani.net/goto.php?url=aHR0cHM6LyAawehyfcghysfdsDGDYdgdsfsdfwstdgdsgtert9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NoYXJwLXRlcm1pbmFsLTMxOTExNy9IODJOVjdQTk5fTy9zdDIzX3N3b3JkLWFydC1vbmxpbmUtZHViLWVwaXNvZGUtOS4xNjI2NTY2NzMyLm1wNA==
season1	10	Crimson Killing Intent	https://streamani.net/goto.php?url=aHR0cHM6LyAdeqwrwedffryretgsdFrsftrsvfsfsr9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NoYXJwLXRlcm1pbmFsLTMxOTExNy9EOVI3XzVFN1RHQS9zdDIzX3N3b3JkLWFydC1vbmxpbmUtZXBpc29kZS0xMC4xNjI2NTc3MDA3Lm1wNA==	https://streamani.net/goto.php?url=aHR0cHM6LyAdeqwrwedffryretgsdFrsftrsvfsfsr9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3NraWxmdWwtYWxwaGEtMzE3MjAyL0QzVldWT0FXNFZCWi8yMmFhc2MyMl8xNjI2MjY0OTg5LjIyLjBfOTAyMjgubXA0
